link_id,packet_count,traffic_size_mb
1034-3,20186,1.3558921813964844
1034-4,22826,1.5396957397460938
1035-1,23138,1.5614051818847656
1035-2,22900,1.5448532104492188
1035-3,22746,1.5341148376464844
1035-4,21514,1.4483451843261719
1036-1,23282,1.5714302062988281
1036-2,22746,1.5341148376464844
1036-3,22540,1.5197792053222656
1036-4,21656,1.4582366943359375
1037-1,23516,1.5877265930175781
1037-2,22540,1.5197792053222656
1037-3,22392,1.5094642639160156
1037-4,21854,1.472015380859375
1038-1,23644,1.596649169921875
1038-2,22392,1.5094642639160156
1038-3,22296,1.5027809143066406
1038-4,21966,1.4798126220703125
1039-1,23766,1.6051368713378906
1039-2,22296,1.5027809143066406
1039-3,22146,1.4923439025878906
1039-4,22080,1.4877433776855469
104-1,22262,1.5004081726074219
104-2,21944,1.4782638549804688
