node_id,packet_count,traffic_size_mb,orbit,sat_id
68,90246,6.085075378417969,3,2
69,90308,6.089408874511719,3,3
70,90342,6.091793060302734,3,4
71,90292,6.088306427001953,3,5
72,90262,6.086235046386719,3,6
73,90322,6.090354919433594,3,7
74,90346,6.092037200927734,3,8
75,90358,6.092872619628906,3,9
76,91680,6.184970855712891,3,10
77,93106,6.284217834472656,3,11
78,91544,6.175468444824219,3,12
79,90198,6.081768035888672,3,13
80,90276,6.087158203125,3,14
81,90324,6.090557098388672,3,15
82,90302,6.088962554931641,3,16
83,90338,6.0915374755859375,3,17
84,90432,6.097995758056641,3,18
85,90428,6.097774505615234,3,19
86,90360,6.093006134033203,3,20
87,90368,6.093585968017578,3,21
88,87642,5.9038238525390625,4,0
89,90162,6.079250335693359,4,1
90,90098,6.074794769287109,4,2
91,90220,6.083282470703125,4,3
92,90284,6.087738037109375,4,4
93,90218,6.083126068115234,4,5
94,90200,6.081890106201172,4,6
95,90270,6.086723327636719,4,7
96,90282,6.087604522705078,4,8
97,90202,6.081989288330078,4,9
98,91500,6.172382354736328,4,10
99,93106,6.284172058105469,4,11
100,91662,6.18365478515625,4,12
101,90292,6.088306427001953,4,13
102,90302,6.088996887207031,4,14
103,90284,6.0877838134765625,4,15
104,90222,6.083393096923828,4,16
105,90186,6.080966949462891,4,17
106,90240,6.084629058837891,4,18
107,90226,6.083705902099609,4,19
108,90190,6.081165313720703,4,20
109,90214,6.082893371582031,4,21
110,89402,6.026329040527344,5,0
111,92020,6.208583831787109,5,1
112,91948,6.203594207763672,5,2
113,91986,6.206279754638672,5,3
114,91970,6.205165863037109,5,4
115,91896,6.199962615966797,5,5
116,91894,6.199851989746094,5,6
117,91998,6.207057952880859,5,7
118,92040,6.21002197265625,5,8
119,91962,6.204540252685547,5,9
120,93288,6.296905517578125,5,10
121,94782,6.400886535644531,5,11
122,93252,6.294364929199219,5,12
123,91936,6.2027130126953125,5,13
124,91964,6.204627990722656,5,14
125,92006,6.2076263427734375,5,15
126,91944,6.203269958496094,5,16
127,91890,6.199596405029297,5,17
128,91958,6.204227447509766,5,18
129,91984,6.2061004638671875,5,19
130,91984,6.206066131591797,5,20
131,91998,6.207080841064453,5,21
132,89244,6.015300750732422,6,0
133,91888,6.199359893798828,6,1
134,91876,6.198558807373047,6,2
135,91984,6.206111907958984,6,3
136,92022,6.208751678466797,6,4
137,91954,6.203971862792969,6,5
138,91942,6.203182220458984,6,6
139,92010,6.2078704833984375,6,7
140,91994,6.206813812255859,6,8
141,91904,6.2004852294921875,6,9
142,93214,6.291748046875,6,10
143,94806,6.402568817138672,6,11
144,93332,6.299968719482422,6,12
145,91940,6.203037261962891,6,13
146,91946,6.203449249267578,6,14
147,91978,6.205711364746094,6,15
148,91934,6.202579498291016,6,16
149,91892,6.199729919433594,6,17
150,91962,6.2044830322265625,6,18
151,91956,6.204128265380859,6,19
152,91904,6.2004852294921875,6,20
153,91880,6.198848724365234,6,21
154,87776,5.91314697265625,7,0
155,90300,6.0888519287109375,7,1
156,90218,6.083137512207031,7,2
157,90292,6.088294982910156,7,3
158,90330,6.090934753417969,7,4
159,90266,6.086456298828125,7,5
160,90234,6.084262847900391,7,6
161,90314,6.0897979736328125,7,7
162,90354,6.092617034912109,7,8
163,90316,6.0899658203125,7,9
164,91624,6.181072235107422,7,10
165,93118,6.285041809082031,7,11
166,91624,6.181026458740234,7,12
167,90316,6.0899658203125,7,13
168,90334,6.0912017822265625,7,14
169,90318,6.090156555175781,7,15
170,90218,6.083148956298828,7,16
171,90178,6.080421447753906,7,17
172,90248,6.085197448730469,7,18
173,90252,6.085533142089844,7,19
174,90274,6.087024688720703,7,20
175,90354,6.092617034912109,7,21
176,87562,5.898231506347656,8,0
177,90096,6.074649810791016,8,1
178,90106,6.0753631591796875,8,2
179,90192,6.081367492675781,8,3
180,90158,6.078971862792969,8,4
181,90050,6.071453094482422,8,5
182,90084,6.073825836181641,8,6
183,90218,6.0831146240234375,8,7
184,90252,6.08551025390625,8,8
